"Term","Student ID","Major Desc"
202420,901479487,"Computer Programming Intrm"
202420,901482628,"Dual Credit"
202420,901455608,"Business Administration"
202420,901484477,"Liberal Arts"
202420,901484236,"Dual Credit"
202420,901486022,"Biology/Pre-Nursing"
202420,901487351,"Liberal Arts"
202420,901459252,"Business Administration"
202420,901443771,"Liberal Arts"
202420,901494165,"Psychology"
202420,901493611,"Biology/Pre-Nursing"
202420,901495118,"Mechanical Engineering"
202420,901346106,"Sociology"
202420,901500769,"Business Administration"
202420,901501033,"Dual Credit"
202420,901506014,"Dual Credit"
202420,901522296,"CNC Manufacturing Tech"
202420,901522220,"General Science"
202420,901472061,"General Science"
202420,901524137,"Business Management & Tech"
202420,901524005,"Hospitality Management"
202420,901539038,"Dual Credit"
202420,901542313,"Electrical Trades"
202420,901543697,"Business Administration"
202420,901547391,"Dual Credit"
202420,901547566,"Computer Science"
202420,901549980,"Info Assurance & Cybersecurity"
202420,901549637,"Dual Credit"
202420,901383847,"Biology/Pre-Nursing"
202420,901551512,"Dual Credit"
202420,901553448,"Dual Credit"
202420,901525072,"Dual Credit"
202420,901556911,"Dual Credit"
202420,901359968,"Chemistry"
202420,901360244,"Welding Entry-Level"
202420,901530243,"Criminal Justice"
202420,901477237,"Biology/Pre-Nursing"
202420,901535855,"Kinesiology"
202420,901536089,"English"
202420,901558152,"Dual Credit"
202420,901558684,"Dual Credit"
202420,901559055,"Biomedical Engineering Tech"
202420,901561651,"Dual Credit"
202420,901562083,"Biology/Pre-Nursing"
202420,901412678,"Biology/Pre-Nursing"
202420,901565050,"Dual Credit"
202420,901567737,"Biology/Pre-Nursing"
202420,901568833,"Culinary Arts"
202420,901570284,"Liberal Arts"
202420,901457630,"Kinesiology"
202420,901546428,"Comm: Advertising/PR"
202420,901371858,"Journalism"
202420,901028211,"Computer Science"
202420,901573268,"Criminal Justice"
202420,901573690,"English"
202420,901574197,"Computer Science"
202420,901467060,"TX Teacher EC-6, 4-8, & EC-12"
202420,901499843,"Dual Credit"
202420,901588096,"Computer Science"
202420,901459076,"Dual Credit"
202420,901596696,"Dental Hygiene"
202420,901565343,"Nurse Aide for Health Care"
202420,901609319,"Biology/Pre-Nursing"
202420,901439615,"Biology/Pre-Professional"
202420,900541165,"Liberal Arts"
202420,901003986,"Biology/Pre-Nursing"
202420,900265058,"Kinesiology"
202420,901052921,"Psychology"
202420,901108772,"Liberal Arts"
202420,901109333,"Computer Programming"
202420,901134263,"Court Reporting-Comp Aided Tra"
202420,900201076,"Liberal Arts"
202420,901185629,"Spanish"
202420,901220574,"Biology/Pre-Nursing"
202420,901240922,"Nurs: Generic"
202420,901245704,"Medical Laboratory Tech"
202420,901266471,"Respiratory Care Technology"
202420,901302316,"Criminal Justice-Law Enforcemt"
202420,901016824,"Biology/Pre-Nursing"
202420,901324596,"Automotive Technology"
202420,901325742,"Nurs: Generic"
202420,900890616,"Biology/Pre-Nursing"
202420,901364262,"Liberal Arts"
202420,901382125,"Biology/Pre-Nursing"
202420,901287356,"Baking and Pastry Arts"
202420,901299490,"Computer Programming"
202420,901216498,"Computer Science"
202420,901390785,"Engineering"
202420,901398068,"Biology/Pre-Professional"
202420,901419936,"English"
202420,901433503,"Biology/Pre-Nursing"
202420,901438534,"Electrical Trades"
202420,901438218,"Liberal Arts"
202420,901439469,"Dual Credit"
202420,901442403,"Diagnostic Medical Sonography"
202420,901326655,"Info Tech Cybersecurity"
202420,901456924,"Dual Credit"
202420,901461158,"Nurs: Generic"
202420,900857035,"Liberal Arts"
202420,901468146,"Liberal Arts"
202420,901471503,"American Sign Language-Interpr"
202420,901480169,"Dual Credit"
202420,901483585,"Liberal Arts"
202420,901487325,"Music Business"
202420,901490764,"Dual Credit"
202420,901492899,"Business Administration"
202420,901494333,"Dual Credit"
202420,901501610,"Paralegal Studies"
202420,901504351,"Dual Credit"
202420,901504973,"Hospitality Management"
202420,901505912,"Dual Credit"
202420,901508048,"Info Assurance & Cybersecurity"
202420,901508836,"Kinesiology"
202420,901509129,"Dual Credit"
202420,901509273,"Dual Credit"
202420,901409501,"Biology/Pre-Professional"
202420,901510412,"Dual Credit"
202420,901511707,"Biology/Pre-Professional"
202420,901406816,"EC-6 Generalist"
202420,901360777,"Criminal Justice"
202420,901506513,"Biology/Pre-Professional"
202420,901517190,"Biology/Pre-Professional"
202420,901523028,"Computer Information System"
202420,901507318,"Radio-Television-Broadcasting"
202420,901492247,"Biology"
202420,901529013,"Diagnostic Medical Sonography"
202420,900981585,"Biology/Pre-Nursing"
202420,901539549,"Dual Credit"
202420,901535528,"English"
202420,901542778,"Computer Science"
202420,901542614,"Art"
202420,901548560,"Dual Credit"
202420,901275860,"EC-6 Generalist"
202420,901550600,"Biology/Pre-Nursing"
202420,901551261,"Dual Credit"
202420,901550908,"Dual Credit"
202420,901551724,"Dual Credit"
202420,901483539,"Dual Credit"
202420,901553987,"Dual Credit"
202420,901554721,"Dual Credit"
202420,901555408,"Kinesiology"
202420,901179750,"Liberal Arts"
202420,901189110,"Liberal Arts"
202420,901531854,"Liberal Arts"
202420,901530286,"Liberal Arts"
202420,901534943,"Culinary Arts"
202420,901534007,"Nutrition"
202420,901537742,"Dual Credit"
202420,901558285,"Dual Credit"
202420,901559196,"Dual Credit"
202420,901561397,"Business Administration"
202420,901544711,"Biology"
202420,901563188,"Architecture"
202420,901563233,"Business Administration"
202420,901365982,"Computer Programming"
202420,901463098,"Computer Science"
202420,900469275,"Cyber Defense"
202420,901566746,"Electrical Trades"
202420,901490711,"Psychology"
202420,901569993,"Mechanical Engineering"
202420,901442227,"Cloud Computing"
202420,901571401,"Liberal Arts"
202420,901506010,"Biology/Pre-Professional"
202420,901573187,"Art"
202420,901573198,"Anthropology"
202420,901503496,"Art"
202420,901460212,"Business Administration"
202420,901556021,"Biology/Pre-Professional"
202420,901578050,"Business Administration"
202420,901487126,"Dual Credit"
202420,901577771,"Paralegal Studies"
202420,901582172,"Dual Credit"
202420,901501468,"Dual Credit"
202420,901584546,"Dual Credit"
202420,901507568,"Computer Science"
202420,901477422,"Dual Credit"
202420,901589823,"Construction Technology"
202420,901593263,"Physical Therapist Assistant"
202420,901259756,"Business Administration"
202420,901593588,"Dual Credit"
202420,901563182,"Biology/Pre-Nursing"
202420,901599223,"Dual Credit"
202420,900379120,"Biology/Pre-Nursing"
202420,900390542,"Criminal Justice"
202420,901076954,"Mechanical Engineering"
202420,901213470,"Administrative Assistant"
202420,900854426,"Liberal Arts"
202420,901309024,"Veterinary Technology"
202420,901130925,"Business Administration"
202420,901338696,"Liberal Arts"
202420,901247284,"Biology/Pre-Nursing"
202420,901350433,"Nurs:Career Mobility-LVN - RN"
202420,901352617,"Baking and Pastry Arts"
202420,901353918,"Liberal Arts"
202420,901367412,"Diagnostic Medical Sonography"
202420,901420134,"Dual Credit"
202420,901420383,"Computer Science"
202420,901421160,"American Sign Language-Interpr"
202420,901427416,"History"
202420,901143460,"General Science"
202420,900799556,"Info Tech Cybersecurity"
202420,901266910,"Liberal Arts"
202420,901453918,"Dual Credit"
202420,901458497,"Nurs: Generic"
202420,900765976,"Financial Management"
202420,901464561,"Political Science"
202420,901469135,"Diagnostic Medical Sonography"
202420,901228559,"Business Administration"
202420,901470740,"Biology/Pre-Nursing"
202420,901473805,"Business Management & Tech"
202420,901475765,"3-D Animation"
202420,901371900,"Psychology"
202420,901481483,"Architecture"
202420,901482449,"Liberal Arts"
202420,901482552,"Welding Entry-Level"
202420,901485722,"Biology/Pre-Nursing"
202420,900302128,"Biology/Pre-Nursing"
202420,901488825,"Psychology"
202420,901489931,"Dual Credit"
202420,901491246,"Art"
202420,901492431,"General Science"
202420,901495024,"Dual Credit"
202420,901444832,"Biology/Pre-Nursing"
202420,901497540,"Biology/Pre-Nursing"
202420,901311150,"TX Teacher EC-6, 4-8, & EC-12"
202420,901504306,"Dual Credit"
202420,901506085,"Biology/Pre-Nursing"
202420,901494106,"Dual Credit"
202420,900693736,"Business Administration"
202420,901449618,"Dual Credit"
202420,901512767,"Business Administration"
202420,901413205,"Computer Science"
202420,901521807,"Biology/Pre-Nursing"
202420,901522909,"History"
202420,901522992,"Kinesiology"
202420,901452588,"Criminal Justice"
202420,901327923,"Busi Mgmt & Oper Mgmt Spec"
202420,901422072,"Business Administration"
202420,901526514,"Busi Mgmt & Oper Entrep"
202420,901533650,"Biology/Pre-Nursing"
202420,901392853,"Business Administration"
202420,901477261,"Biology/Pre-Nursing"
202420,901543939,"Dual Credit"
202420,901544787,"Business Administration"
202420,901545635,"English"
202420,901548280,"Dual Credit"
202420,901550432,"Digital Video & Cinema Prod"
202420,901550773,"Biology/Pre-Nursing"
202420,901550805,"Dual Credit"
202420,901551317,"Dual Credit"
202420,901550671,"Dual Credit"
202420,901551647,"Dual Credit"
202420,901553166,"Dual Credit"
202420,901553976,"Dual Credit"
202420,901557308,"Dual Credit"
202420,901433737,"Dental Hygiene"
202420,901505407,"Business Administration"
202420,901536842,"Culinary Arts"
202420,901508782,"Dual Credit"
202420,901482198,"Biomedical Engineering Tech"
202420,901561122,"Dual Credit"
202420,901190490,"Biology/Pre-Nursing"
202420,901512476,"Dual Credit"
202420,901504271,"Dual Credit"
202420,901568496,"Liberal Arts"
202420,901502557,"Dual Credit"
202420,901502618,"Dual Credit"
202420,901538049,"Biology"
202420,901033775,"Biology/Pre-Professional"
202420,901551423,"Psychology"
202420,901574320,"Comptr & Network Support Spec"
202420,901092131,"Biology/Pre-Professional"
202420,901556775,"Business Administration"
202420,901578028,"Dual Credit"
202420,901558089,"General Science"
202420,901580547,"Dual Credit"
202420,901587731,"Construction Technology"
202420,901587161,"EMT - Paramedic"
202420,901557134,"Biology/Pre-Nursing"
202420,901591221,"Health Professions Degree"
202420,901599091,"Dual Credit"
202420,901598333,"Business Administration"
202420,901603347,"Dual Credit"
